assembly	excluded	selectionGroup	source	taxid	name	group	subgroup	gcode	superkingdom	phylum	class	order	family	genus	species	taxostring	size	scaffolds	genes	refseq_category	assembly_level	biosample	bioproject	wgs	wgs_master	is_public	jgiid	ftp_path	shortName	prefix	genomeFile	proteomeFile	completeness	expected_result
GCA_001603255.1	0_included	Euryarchaeota	genbank	1674804	Methanomicrobiales archaeon Methan_07	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	NA	Methanomicrobiales archaeon Methan_07	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;NA;Methanomicrobiales archaeon Methan_07	19131400	414	-	na	Scaffold	SAMN03837489	PRJNA284316	LUYK01	LUYK00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/603/255/GCA_001603255.1_ASM160325v1	Methanomicrobiales_archaeon_Methan_07	MetAre	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_Methan_07/GCA_001603255.1_ASM160325v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_Methan_07/Methanomicrobiales_archaeon_Methan_07.faa	0.803571428571429	included
GCA_001595875.1	0_included	Euryarchaeota	genbank	1803819	Thermoplasmatales archaeon SG8-52-4	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SG8-52-4	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-4	22462700	91	2162	na	Contig	SAMN04495913	PRJNA270657	LSSF01	LSSF00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/875/GCA_001595875.1_ASM159587v1	Thermoplasmatales_archaeon_SG8_52_4	acmopl	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_4/GCA_001595875.1_ASM159587v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_4/GCA_001595875.1_ASM159587v1_protein.faa	0.803571428571429	included
GCA_001515185.1	0_included	Euryarchaeota	genbank	1775754	Hadesarchaea archaeon DG-33	Euryarchaeota	Hadesarchaea	11	Archaea	Euryarchaeota	Hadesarchaea	NA	NA	NA	Hadesarchaea archaeon DG-33	Archaea;Euryarchaeota;Hadesarchaea;NA;NA;NA;Hadesarchaea archaeon DG-33	7863810	77	950	na	Scaffold	SAMN04385803	PRJNA270657	LQHI01	LQHI00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/185/GCA_001515185.1_DG-33	Hadesarchaea_archaeon_DG_33	HadArc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_DG_33/GCA_001515185.1_DG-33_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_DG_33/GCA_001515185.1_DG-33_protein.faa	0.821428571428571	included
GCA_000416105.1	0_included	Euryarchaeota	genbank	1085029	halophilic archaeon J07HB67	Euryarchaeota	Halobacteria	11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon J07HB67	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;NA;halophilic archaeon J07HB67	26495500	3	2874	na	Scaffold	SAMN01940911	PRJNA70861	AGCZ01	AGCZ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/416/105/GCA_000416105.1_J07AB_HB67select	halophilic_archaeon_J07HB67	HalArc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_J07HB67/GCA_000416105.1_J07AB_HB67select_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_J07HB67/GCA_000416105.1_J07AB_HB67select_protein.faa	0.821428571428571	included
GCA_001628435.1	0_included	Euryarchaeota	genbank	1811649	Marine group II euryarchaeote REDSEA-S03_B6	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine group II euryarchaeote REDSEA-S03_B6	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine group II euryarchaeote REDSEA-S03_B6	13153500	210	-	na	Scaffold	SAMN04534670	PRJNA289734	LURP01	LURP00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/435/GCA_001628435.1_ASM162843v1	Marine_group_II_euryarchaeote_REDSEA_S0	Iutieu	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S0/GCA_001628435.1_ASM162843v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S0/Marine_group_II_euryarchaeote_REDSEA_S0.faa	0.821428571428571	included
GCA_001595795.1	0_included	Euryarchaeota	genbank	1803813	Theionarchaea archaeon DG-70	Euryarchaeota	Theionarchaea	11	Archaea	Euryarchaeota	Theionarchaea	NA	NA	NA	Theionarchaea archaeon DG-70	Archaea;Euryarchaeota;Theionarchaea;NA;NA;NA;Theionarchaea archaeon DG-70	35595500	177	3702	na	Contig	SAMN04495907	PRJNA270657	LSSB01	LSSB00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/795/GCA_001595795.1_ASM159579v1	Theionarchaea_archaeon_DG_70	TheArc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Theionarchaea_archaeon_DG_70/GCA_001595795.1_ASM159579v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Theionarchaea_archaeon_DG_70/GCA_001595795.1_ASM159579v1_protein.faa	0.839285714285714	included
GCA_001800745.1	0_included	Euryarchaeota	genbank	1797980	Euryarchaeota archaeon RBG_16_67_27	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_16_67_27	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_16_67_27	15467200	79	1588	na	Scaffold	SAMN04316255	PRJNA288027	MGVZ01	MGVZ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/745/GCA_001800745.1_ASM180074v1	Euryarchaeota_archaeon_RBG_16_67_27	eoR17a	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_67_27/GCA_001800745.1_ASM180074v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_67_27/GCA_001800745.1_ASM180074v1_protein.faa	0.839285714285714	included
GCA_001595945.1	0_included	Euryarchaeota	genbank	1803815	Thermoplasmatales archaeon SM1-50	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SM1-50	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SM1-50	20917100	94	2064	na	Contig	SAMN04495914	PRJNA270657	LSSI01	LSSI00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/945/GCA_001595945.1_ASM159594v1	Thermoplasmatales_archaeon_SM1_50	meo0ol	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SM1_50/GCA_001595945.1_ASM159594v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SM1_50/GCA_001595945.1_ASM159594v1_protein.faa	0.839285714285714	included
X4	0_included	-	local	-	bin_172	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bin_172	bin172	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_172/PROKKA_07132016.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_172/bin_172_PROKKA.faa	0.875	included
GCA_001595915.1	0_included	Euryarchaeota	genbank	1803818	Thermoplasmatales archaeon SG8-52-3	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SG8-52-3	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-3	19094000	84	1864	na	Contig	SAMN04495911	PRJNA270657	LSSG01	LSSG00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/915/GCA_001595915.1_ASM159591v1	Thermoplasmatales_archaeon_SG8_52_3	Theer3	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_3/GCA_001595915.1_ASM159591v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_3/GCA_001595915.1_ASM159591v1_protein.faa	0.875	included
GCA_002170315.1	0_included	Euryarchaeota	genbank	1986698	Euryarchaeota archaeon TMED99	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED99	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED99	20855600	76	1792	na	Contig	SAMN06971953	PRJNA385857	NHFA01	NHFA00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/315/GCA_002170315.1_ASM217031v1	Euryarchaeota_archaeon_TMED99	EoeEar	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED99/GCA_002170315.1_ASM217031v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED99/GCA_002170315.1_ASM217031v1_protein.faa	0.875	included
GCA_000416085.1	0_included	Euryarchaeota	genbank	1085028	halophilic archaeon J07HX64	Euryarchaeota	Halobacteria	11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon J07HX64	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;NA;halophilic archaeon J07HX64	29829400	1	3070	na	Scaffold	SAMN01940911	PRJNA70851	AGCY01	AGCY00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/416/085/GCA_000416085.1_J07ABselected	halophilic_archaeon_J07HX64	HalAra	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_J07HX64/GCA_000416085.1_J07ABselected_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_J07HX64/GCA_000416085.1_J07ABselected_protein.faa	0.892857142857143	included
X5	0_included	-	local	-	bin_91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bin_91	bin910	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_91/PROKKA_06232016.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_91/bin_91_PROKKA.faa	0.892857142857143	included
GCA_001800815.1	0_included	Euryarchaeota	genbank	1797983	Euryarchaeota archaeon RBG_19FT_COMBO_56_21	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_19FT_COMBO_56_21	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_19FT_COMBO_56_21	18687700	65	1790	na	Scaffold	SAMN04316249	PRJNA288027	MGWC01	MGWC00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/815/GCA_001800815.1_ASM180081v1	Euryarchaeota_archaeon_RBG_19FT_COMBO_5	areOar	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_19FT_COMBO_5/GCA_001800815.1_ASM180081v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_19FT_COMBO_5/GCA_001800815.1_ASM180081v1_protein.faa	0.892857142857143	included
GCA_002172575.1	0_included	Euryarchaeota	genbank	1986682	Euryarchaeota archaeon TMED103	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED103	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED103	20019400	41	1722	na	Contig	SAMN06971957	PRJNA385857	NHFE01	NHFE00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/575/GCA_002172575.1_ASM217257v1	Euryarchaeota_archaeon_TMED103	arT0ya	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED103/GCA_002172575.1_ASM217257v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED103/GCA_002172575.1_ASM217257v1_protein.faa	0.892857142857143	included
GCA_002172355.1	0_included	Euryarchaeota	genbank	1986685	Euryarchaeota archaeon TMED132	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED132	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED132	18158600	66	1668	na	Contig	SAMN06971986	PRJNA385857	NHGH01	NHGH00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/355/GCA_002172355.1_ASM217235v1	Euryarchaeota_archaeon_TMED132	oraoTD	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED132/GCA_002172355.1_ASM217235v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED132/GCA_002172355.1_ASM217235v1_protein.faa	0.892857142857143	included
GCA_002171445.1	0_included	Euryarchaeota	genbank	1986697	Euryarchaeota archaeon TMED97	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED97	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED97	16326500	44	1531	na	Contig	SAMN06971951	PRJNA385857	NHEY01	NHEY00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/445/GCA_002171445.1_ASM217144v1	Euryarchaeota_archaeon_TMED97	caeDye	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED97/GCA_002171445.1_ASM217144v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED97/GCA_002171445.1_ASM217144v1_protein.faa	0.892857142857143	included
GCA_001587675.1	0_included	Euryarchaeota	genbank	1705564	Arc I group archaeon U1lsi0528_Bin089	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	NA	NA	NA	Arc I group archaeon U1lsi0528_Bin089	Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;Arc I group archaeon U1lsi0528_Bin089	17944600	313	1999	na	Contig	SAMN04009068	PRJNA293769	LNGD01	LNGD00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/675/GCA_001587675.1_ASM158767v1	Arc_I_group_archaeon_U1lsi0528_Bin089	h58oua	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Arc_I_group_archaeon_U1lsi0528_Bin089/GCA_001587675.1_ASM158767v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Arc_I_group_archaeon_U1lsi0528_Bin089/GCA_001587675.1_ASM158767v1_protein.faa	0.910714285714286	included
GCA_001595815.1	0_included	Euryarchaeota	genbank	1803814	Theionarchaea archaeon DG-70-1	Euryarchaeota	Theionarchaea	11	Archaea	Euryarchaeota	Theionarchaea	NA	NA	NA	Theionarchaea archaeon DG-70-1	Archaea;Euryarchaeota;Theionarchaea;NA;NA;NA;Theionarchaea archaeon DG-70-1	47720600	194	4531	na	Contig	SAMN04495908	PRJNA270657	LSSC01	LSSC00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/815/GCA_001595815.1_ASM159581v1	Theionarchaea_archaeon_DG_70_1	TheArh	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Theionarchaea_archaeon_DG_70_1/GCA_001595815.1_ASM159581v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Theionarchaea_archaeon_DG_70_1/GCA_001595815.1_ASM159581v1_protein.faa	0.910714285714286	included
X3	0_included	-	local	-	bin_160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bin_160	bin160	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_160/PROKKA_07122016.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_160/bin_160_PROKKA.faa	0.910714285714286	included
GCA_001421185.1	0_included	Euryarchaeota	genbank	1713724	Methanomassiliicoccales archaeon RumEn M1	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	NA	NA	Methanomassiliicoccales archaeon RumEn M1	Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;NA;NA;Methanomassiliicoccales archaeon RumEn M1	21210300	182	2271	na	Contig	SAMN04038609	PRJNA295008	LJKK01	LJKK00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/185/GCA_001421185.1_ASM142118v1	Methanomassiliicoccales_archaeon_RumEn	alrana	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomassiliicoccales_archaeon_RumEn/GCA_001421185.1_ASM142118v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomassiliicoccales_archaeon_RumEn/GCA_001421185.1_ASM142118v1_protein.faa	0.910714285714286	included
GCA_001628485.1	0_included	Euryarchaeota	genbank	1811651	Marine group II euryarchaeote REDSEA-S11_B3N4	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine group II euryarchaeote REDSEA-S11_B3N4	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine group II euryarchaeote REDSEA-S11_B3N4	12959900	35	-	na	Scaffold	SAMN04534672	PRJNA289734	LURR01	LURR00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/485/GCA_001628485.1_ASM162848v1	Marine_group_II_euryarchaeote_REDSEA_S1_1	yeSi1g	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S1_1/GCA_001628485.1_ASM162848v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S1_1/Marine_group_II_euryarchaeote_REDSEA_S1_1.faa	0.910714285714286	included
GCA_001875345.1	0_included	Euryarchaeota	genbank	1888995	Marine Group III euryarchaeote CG-Epi1	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine Group III euryarchaeote CG-Epi1	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine Group III euryarchaeote CG-Epi1	11771700	25	1122	na	Contig	SAMN05509049	PRJNA335308	MIZA01	MIZA00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/345/GCA_001875345.1_ASM187534v1	Marine_Group_III_euryarchaeote_CG_Epi1	MarGr0	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Epi1/GCA_001875345.1_ASM187534v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Epi1/GCA_001875345.1_ASM187534v1_protein.faa	0.910714285714286	included
GCA_001515205.2	0_included	Euryarchaeota	genbank	1776334	Hadesarchaea archaeon YNP_45	Euryarchaeota	Hadesarchaea	11	Archaea	Euryarchaeota	Hadesarchaea	NA	NA	NA	Hadesarchaea archaeon YNP_45	Archaea;Euryarchaeota;Hadesarchaea;NA;NA;NA;Hadesarchaea archaeon YNP_45	12311300	64	1367	na	Contig	SAMN04159681	PRJNA298487	LQMQ01	LQMQ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/205/GCA_001515205.2_ASM151520v2	Hadesarchaea_archaeon_YNP_45	HadAra	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_YNP_45/GCA_001515205.2_ASM151520v2_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_YNP_45/GCA_001515205.2_ASM151520v2_protein.faa	0.928571428571429	included
GCA_000063445.1	0_included	Euryarchaeota	genbank	351160	Methanocella arvoryzae MRE50	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella arvoryzae	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella arvoryzae	31799200	1	3164	representative genome	Complete Genome	SAMEA3138262	PRJNA19641	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/445/GCA_000063445.1_ASM6344v1	Methanocella_arvoryzae_MRE50	MetArv	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanocella_arvoryzae_MRE50/GCA_000063445.1_ASM6344v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanocella_arvoryzae_MRE50/GCA_000063445.1_ASM6344v1_protein.faa	0.928571428571429	included
GCA_001421175.1	0_included	Euryarchaeota	genbank	1713725	Methanomassiliicoccales archaeon RumEn M2	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	NA	NA	Methanomassiliicoccales archaeon RumEn M2	Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;NA;NA;Methanomassiliicoccales archaeon RumEn M2	12808000	18	1418	na	Contig	SAMN04038610	PRJNA295008	LJKL01	LJKL00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/175/GCA_001421175.1_ASM142117v1	Methanomassiliicoccales_archaeon_RumEn_1	canEao	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomassiliicoccales_archaeon_RumEn_1/GCA_001421175.1_ASM142117v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomassiliicoccales_archaeon_RumEn_1/GCA_001421175.1_ASM142117v1_protein.faa	0.928571428571429	included
GCA_001800825.1	0_included	Euryarchaeota	genbank	1797984	Euryarchaeota archaeon RBG_19FT_COMBO_69_17	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_19FT_COMBO_69_17	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_19FT_COMBO_69_17	22106900	66	2336	na	Scaffold	SAMN04316248	PRJNA288027	MGWD01	MGWD00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/825/GCA_001800825.1_ASM180082v1	Euryarchaeota_archaeon_RBG_19FT_COMBO_6	orcrFr	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_19FT_COMBO_6/GCA_001800825.1_ASM180082v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_19FT_COMBO_6/GCA_001800825.1_ASM180082v1_protein.faa	0.928571428571429	included
GCA_002011395.1	0_included	Euryarchaeota	genbank	1935018	Aciduliprofundum sp. JdFR-45	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum sp. JdFR-45	Archaea;Euryarchaeota;NA;NA;NA;Aciduliprofundum;Aciduliprofundum sp. JdFR-45	12497600	161	-	na	Contig	SAMN06226362	PRJNA269163	MTNG01	MTNG00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/395/GCA_002011395.1_ASM201139v1	Aciduliprofundum_sp_JdFR_45	upJdRp	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Aciduliprofundum_sp_JdFR_45/GCA_002011395.1_ASM201139v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Aciduliprofundum_sp_JdFR_45/Aciduliprofundum_sp_JdFR_45.faa	0.946428571428571	included
GCA_001507955.1	0_included	Methanobacteria	genbank	1635284	Methanobacteriaceae archaeon 41_258	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	Methanobacteriaceae archaeon 41_258	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;NA;Methanobacteriaceae archaeon 41_258	13565100	169	1599	na	Contig	SAMN03445119	PRJNA278302	LGEU01	LGEU00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/955/GCA_001507955.1_ASM150795v1	Methanobacteriaceae_archaeon_41_258	teo128	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacteriaceae_archaeon_41_258/GCA_001507955.1_ASM150795v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacteriaceae_archaeon_41_258/GCA_001507955.1_ASM150795v1_protein.faa	0.946428571428571	included
